"Estimated areas, yield, production, average farm price and total farm value of principal field crops, in metric and imperial units c 1 2 3 4 5 6 7 8 9"
"Frequency: Annual"
"Table: 32-10-0359-01 (formerly CANSIM 001-0017)"
"Release date: 2026-03-05"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

"Geography","Alberta"
1,"Field crop surveys collect data from Quebec, Ontario, Manitoba, Saskatchewan and Alberta on three occasions during the crop year (which extends from December to the following November). However, data are collected twice a year (in the Field Crops Survey - June on seeded areas and in the Field Crops Survey - November on final crop production) for Newfoundland and Labrador, Prince Edward Island, Nova Scotia, New Brunswick and British Columbia, which represent between 2% and 4% of national totals. As of July 2014 for the Atlantic Provinces and British Columbia, July and September production estimates are calculated using the final estimates of the last three crop years. The harvested area is first estimated based on the ratio obtained from the sum of harvested areas of the last three years over the sum of the seeded areas of the last three years. This average ratio is applied to their 2014 reported seeded acreage from the June survey. This estimated harvested area is then multiplied by the average yield of the last three years to estimate production."
2,"Totals may not equal the sum of their parts due to the use of conversion factors or rounding of fractions to whole numbers."
3,"On December 13, 2016, estimates for category "Wheat, all excluding durum wheat" in 2016 were corrected for the following geographies: Maritime provinces, East and Canada."
4,"Starting in June 2018, for March, June and November occasions, the Canadian total for a given crop includes all provincial estimates, whether they are published or not based on quality and confidentiality factors. Note that overall, the estimates of the most important crops non-published in the past generally represent less than 5% of the Canadian total."
5,"Starting in July 2019, model-based data were used estimate yield and production for the province of Manitoba for the July occasion."
6,"Starting in July 2020, model-based data was used to estimate the July occasion yield and production for the provinces of Ontario, Quebec, Manitoba, Alberta, and Saskatchewan.  The July model incorporates coarse resolution satellite data from Statistics Canada's Crop Condition Assessment Program, data from Statistics Canada's field crop reporting series, and agroclimatic data.  "
7,"Starting in September 2016, model-based data was used to estimate the September survey occasion yield and production for the provinces of Ontario, Quebec, Manitoba, Alberta, and Saskatchewan.  The September model incorporates coarse resolution satellite data from Statistics Canada's Crop Condition Assessment Program, data from Statistics Canada's field crop reporting series, and agroclimatic data up until the end of August.  In September 2020, an enhanced crop yield model that incorporates crop insurance was used."
8,"Provincial estimates released for July and September occasions, based on coarse resolution remote sensing imagery, may be unavailable in some cases. Canada totals represent the sum of available estimates."
9,"Starting in December 2022 seeding intentions, previously collected in March, are now collected in December."
10,"Metric data were previously released in CANSIM table 001-0010, which is no longer available as of December 2017. Metric and imperial data are now both included in table 32-10-0359-01 (previously known as 001-0017)."
11,"Seeded area, yield and production of all wheat in Alberta include relatively small estimates of winter wheat for years 1921 to 1977."
12,"All wheat includes spring wheat, durum wheat and winter wheat seeded in the fall."



"How to cite: Statistics Canada. Table 32-10-0359-01  Estimated areas, yield, production, average farm price and total farm value of principal field crops, in metric and imperial units"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901
