"Rotation","ABMI Site","Year","Field Date","Field Crew Member(s)","Quadrant","Survey","Survey Area","Time Searched","Microhabitat Type","Specimen Collected"
Rotation 2,1022,2015,29-May-15,TDI,SE,2,2X25,10,TD,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SE,2,2X25,10,UC,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SE,2,2X25,10,UO,None,
Rotation 2,1022,2015,29-May-15,TDI,SE,2,2X25,10,DM,None,
Rotation 2,1022,2015,29-May-15,TDI,SE,2,2X25,10,DC,None,
Rotation 2,1022,2015,29-May-15,TDI,SW,2,2X25,10,TD,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SW,2,2X25,10,TC,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SW,2,2X25,10,HB,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SW,2,2X25,10,TS,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SW,2,2X25,10,UC,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SW,2,2X25,10,UO,None,
Rotation 2,1022,2015,29-May-15,TDI,SW,2,2X25,10,DC,None,
Rotation 2,1022,2015,29-May-15,TDI,SW,2,2X25,10,DM,None,
Rotation 2,1023,2015,30-May-15,TDI,NE,1,25X15,5,LS,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NE,1,25X15,5,LH,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NE,1,25X15,5,WDS,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NE,1,25X15,5,WPW,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NE,1,25X15,5,WSB,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NE,1,25X15,5,WMF,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NE,1,25X15,5,RR,None,
Rotation 2,1023,2015,30-May-15,TDI,NE,1,25X15,5,CL,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NE,1,25X15,5,BC,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NW,1,25X15,5,LS,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NW,1,25X15,5,LH,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NW,1,25X15,5,WDS,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NW,1,25X15,5,WMF,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NW,1,25X15,5,WPW,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NW,1,25X15,5,WSB,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NW,1,25X15,5,BC,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NW,1,25X15,5,RR,None,
Rotation 2,1023,2015,30-May-15,TDI,NW,1,25X15,5,CL,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,1,25X15,5,LS,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,1,25X15,5,LH,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,1,25X15,5,WDS,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,1,25X15,5,WPW,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,1,25X15,5,WSB,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,1,25X15,5,WMF,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,1,25X15,5,CL,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,1,25X15,5,RR,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,1,25X15,5,BC,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,1,25X15,10,LH,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,1,25X15,10,LS,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,1,25X15,10,WPW,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,1,25X15,10,WDS,C,
Rotation 2,1023,2015,30-May-15,TDI,SW,1,25X15,10,WSB,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,1,25X15,10,WMF,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,1,25X15,10,CL,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,1,25X15,10,RR,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,1,25X15,10,BC,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NE,2,2X25,10,TD,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NE,2,2X25,10,TC,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NE,2,2X25,10,TS,None,
Rotation 2,1023,2015,30-May-15,TDI,NE,2,2X25,10,HB,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NE,2,2X25,10,UO,C,
Rotation 2,1023,2015,30-May-15,TDI,NE,2,2X25,10,DC,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NE,2,2X25,10,UC,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NE,2,2X25,10,DM,C,
Rotation 2,1023,2015,30-May-15,TDI,NW,2,2X25,10,TC,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NW,2,2X25,10,TD,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NW,2,2X25,10,HB,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NW,2,2X25,10,TS,None,
Rotation 2,1023,2015,30-May-15,TDI,NW,2,2X25,10,UC,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NW,2,2X25,10,DC,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NW,2,2X25,10,DM,C,
Rotation 2,1023,2015,30-May-15,TDI,NW,2,2X25,10,UO,C,
Rotation 2,1023,2015,30-May-15,TDI,SE,2,2X25,10,TC,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,2,2X25,10,TS,None,
Rotation 2,1023,2015,30-May-15,TDI,SE,2,2X25,10,HB,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,2,2X25,10,TD,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,2,2X25,10,DM,None,
Rotation 2,1023,2015,30-May-15,TDI,SE,2,2X25,10,DC,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,2,2X25,10,UO,C,
Rotation 2,1023,2015,30-May-15,TDI,SE,2,2X25,10,UC,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,2,2X25,10,TC,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,2,2X25,10,TS,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,2,2X25,10,HB,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,2,2X25,10,TD,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,2,2X25,10,UC,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,2,2X25,10,UO,C,
Rotation 2,1023,2015,30-May-15,TDI,SW,2,2X25,10,DC,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,2,2X25,10,DM,None,
Rotation 2,1024,2015,31-May-15,TDI,NE,1,25X15,25,LS,C,
Rotation 2,1024,2015,31-May-15,TDI,NE,1,25X15,25,LH,C,
Rotation 2,1024,2015,31-May-15,TDI,NE,1,25X15,25,WSB,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,1,25X15,25,WPW,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,1,25X15,25,WDS,C,
Rotation 2,1024,2015,31-May-15,TDI,NE,1,25X15,25,WMF,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,1,25X15,25,CL,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,1,25X15,25,BC,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,1,25X15,25,RR,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,1,25X15,25,LH,C,
Rotation 2,1024,2015,31-May-15,TDI,NW,1,25X15,25,LS,C,
Rotation 2,1024,2015,31-May-15,TDI,NW,1,25X15,25,WSB,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,1,25X15,25,WPW,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,1,25X15,25,WDS,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,1,25X15,25,WMF,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,1,25X15,25,RR,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,1,25X15,25,BC,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,1,25X15,25,CL,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SE,1,25X15,25,LH,C,
Rotation 2,1024,2015,31-May-15,TDI,SE,1,25X15,25,LS,C,
Rotation 2,1024,2015,31-May-15,TDI,SE,1,25X15,25,WMF,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SE,1,25X15,25,WPW,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SE,1,25X15,25,WDS,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SE,1,25X15,25,WSB,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SE,1,25X15,25,CL,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SE,1,25X15,25,RR,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SE,1,25X15,25,BC,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SW,1,25X15,25,LS,C,
Rotation 2,1024,2015,31-May-15,TDI,SW,1,25X15,25,LH,C,
Rotation 2,1024,2015,31-May-15,TDI,SW,1,25X15,25,WSB,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SW,1,25X15,25,WDS,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SW,1,25X15,25,WPW,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SW,1,25X15,25,WMF,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SW,1,25X15,25,CL,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SW,1,25X15,25,RR,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SW,1,25X15,25,BC,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,2,2X25,10,TD,C,
Rotation 2,1024,2015,31-May-15,TDI,NE,2,2X25,10,HB,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,2,2X25,10,TS,C,
Rotation 2,1024,2015,31-May-15,TDI,NE,2,2X25,10,TC,C,
Rotation 2,1024,2015,31-May-15,TDI,NE,2,2X25,10,UO,None,
Rotation 2,1024,2015,31-May-15,TDI,NE,2,2X25,10,UC,C,
Rotation 2,1024,2015,31-May-15,TDI,NE,2,2X25,10,DM,None,
Rotation 2,1024,2015,31-May-15,TDI,NE,2,2X25,10,DC,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,2,2X25,10,HB,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,2,2X25,10,TD,C,
Rotation 2,1024,2015,31-May-15,TDI,NW,2,2X25,10,TC,C,
Rotation 2,1024,2015,31-May-15,TDI,NW,2,2X25,10,UO,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,2,2X25,10,TS,C,
Rotation 2,1024,2015,31-May-15,TDI,NW,2,2X25,10,DC,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,2,2X25,10,DM,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,2,2X25,10,UC,C,
Rotation 2,1024,2015,31-May-15,TDI,SE,2,2X25,10,HB,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SE,2,2X25,10,TC,None,
Rotation 2,1024,2015,31-May-15,TDI,SE,2,2X25,10,TS,C,
Rotation 2,1024,2015,31-May-15,TDI,SE,2,2X25,10,TD,C,
Rotation 2,1024,2015,31-May-15,TDI,SE,2,2X25,10,UO,None,
Rotation 2,1024,2015,31-May-15,TDI,SE,2,2X25,10,UC,C,
Rotation 2,1024,2015,31-May-15,TDI,SE,2,2X25,10,DC,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SE,2,2X25,10,DM,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SW,2,2X25,10,TD,C,
Rotation 2,1024,2015,31-May-15,TDI,SW,2,2X25,10,TC,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SW,2,2X25,10,TS,C,
Rotation 2,1024,2015,31-May-15,TDI,SW,2,2X25,10,HB,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SW,2,2X25,10,UC,None,
Rotation 2,1024,2015,31-May-15,TDI,SW,2,2X25,10,DM,None,
Rotation 2,1024,2015,31-May-15,TDI,SW,2,2X25,10,DC,None,
Rotation 2,1024,2015,31-May-15,TDI,SW,2,2X25,10,UO,None,
Rotation 2,1056,2015,02-Jun-15,DMI,NE,1,25X15,5,LS,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,NE,1,25X15,5,LH,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,NE,1,25X15,5,WSB,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,NE,1,25X15,5,WPW,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,NE,1,25X15,5,WDS,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,NE,1,25X15,5,WMF,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,NE,1,25X15,5,BC,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,NE,1,25X15,5,RR,None,
Rotation 2,1056,2015,02-Jun-15,DMI,NE,1,25X15,5,CL,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,NW,1,25X15,5,LS,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,NW,1,25X15,5,LH,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,NW,1,25X15,5,WDS,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,NW,1,25X15,5,WMF,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,NW,1,25X15,5,WPW,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,NW,1,25X15,5,WSB,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,NW,1,25X15,5,CL,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,NW,1,25X15,5,RR,C,
Rotation 2,1056,2015,02-Jun-15,DMI,NW,1,25X15,5,BC,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SE,1,25X15,5,LS,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SE,1,25X15,5,LH,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SE,1,25X15,5,WMF,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SE,1,25X15,5,WSB,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SE,1,25X15,5,WDS,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SE,1,25X15,5,WPW,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SE,1,25X15,5,BC,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SE,1,25X15,5,RR,C,
Rotation 2,1056,2015,02-Jun-15,DMI,SE,1,25X15,5,CL,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SW,1,25X15,5,LS,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SW,1,25X15,5,LH,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SW,1,25X15,5,WSB,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SW,1,25X15,5,WPW,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SW,1,25X15,5,WDS,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SW,1,25X15,5,WMF,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SW,1,25X15,5,BC,None,
Rotation 2,1056,2015,02-Jun-15,DMI,SW,1,25X15,5,CL,None,
Rotation 2,1056,2015,02-Jun-15,DMI,SW,1,25X15,5,RR,None,
Rotation 2,1056,2015,02-Jun-15,DMI,NE,2,2X25,10,TD,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,NE,2,2X25,10,TC,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,NE,2,2X25,10,TS,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,NE,2,2X25,10,HB,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,NE,2,2X25,10,UC,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,NE,2,2X25,10,DC,C,
Rotation 2,1056,2015,02-Jun-15,DMI,NE,2,2X25,10,DM,C,
Rotation 2,1056,2015,02-Jun-15,DMI,NE,2,2X25,10,UO,C,
Rotation 2,1056,2015,02-Jun-15,DMI,NW,2,2X25,10,HB,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,NW,2,2X25,10,TS,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,NW,2,2X25,10,TC,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,NW,2,2X25,10,UO,C,
Rotation 2,1056,2015,02-Jun-15,DMI,NW,2,2X25,10,TD,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,NW,2,2X25,10,DM,C,
Rotation 2,1056,2015,02-Jun-15,DMI,NW,2,2X25,10,DC,C,
Rotation 2,1056,2015,02-Jun-15,DMI,NW,2,2X25,10,UC,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SE,2,2X25,10,HB,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SE,2,2X25,10,TC,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SE,2,2X25,10,TD,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SE,2,2X25,10,TS,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SE,2,2X25,10,DC,None,
Rotation 2,1056,2015,02-Jun-15,DMI,SE,2,2X25,10,UO,None,
Rotation 2,1056,2015,02-Jun-15,DMI,SE,2,2X25,10,UC,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SE,2,2X25,10,DM,None,
Rotation 2,1056,2015,02-Jun-15,DMI,SW,2,2X25,10,HB,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SW,2,2X25,10,TS,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SW,2,2X25,10,TC,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SW,2,2X25,10,TD,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SW,2,2X25,10,UC,VNA,
Rotation 2,1056,2015,02-Jun-15,DMI,SW,2,2X25,10,DC,C,
Rotation 2,1056,2015,02-Jun-15,DMI,SW,2,2X25,10,UO,C,
Rotation 2,1056,2015,02-Jun-15,DMI,SW,2,2X25,10,DM,C,
Rotation 2,1057,2015,01-Jun-15,TDI,NE,1,25X15,25,LS,C,
Rotation 2,1057,2015,01-Jun-15,TDI,NE,1,25X15,25,LH,C,
Rotation 2,1057,2015,01-Jun-15,TDI,NE,1,25X15,25,WPW,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,NE,1,25X15,25,WDS,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,NE,1,25X15,25,WSB,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,NE,1,25X15,25,WMF,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,NE,1,25X15,25,RR,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,NE,1,25X15,25,CL,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,NE,1,25X15,25,BC,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,NW,1,25X15,25,LS,C,
Rotation 2,1057,2015,01-Jun-15,TDI,NW,1,25X15,25,LH,C,
Rotation 2,1057,2015,01-Jun-15,TDI,NW,1,25X15,25,WDS,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,NW,1,25X15,25,WSB,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,NW,1,25X15,25,WPW,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,NW,1,25X15,25,WMF,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,NW,1,25X15,25,RR,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,NW,1,25X15,25,BC,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,NW,1,25X15,25,CL,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,SE,1,25X15,10,LH,None,
Rotation 2,1057,2015,01-Jun-15,TDI,SE,1,25X15,10,LS,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,SE,1,25X15,10,WPW,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,SE,1,25X15,10,WDS,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,SE,1,25X15,10,WSB,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,SE,1,25X15,10,WMF,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,SE,1,25X15,10,CL,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,SE,1,25X15,10,BC,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,SE,1,25X15,10,RR,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,SW,1,25X15,6,LH,None,
Rotation 2,1057,2015,01-Jun-15,TDI,SW,1,25X15,6,LS,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,SW,1,25X15,6,WDS,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,SW,1,25X15,6,WPW,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,SW,1,25X15,6,WSB,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,SW,1,25X15,6,WMF,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,SW,1,25X15,6,CL,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,SW,1,25X15,6,BC,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,SW,1,25X15,6,RR,None,
Rotation 2,1057,2015,01-Jun-15,TDI,NE,2,2X25,10,TS,C,
Rotation 2,1057,2015,01-Jun-15,TDI,NE,2,2X25,10,HB,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,NE,2,2X25,10,TC,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,NE,2,2X25,10,TD,C,
Rotation 2,1057,2015,01-Jun-15,TDI,NE,2,2X25,10,UO,C,
Rotation 2,1057,2015,01-Jun-15,TDI,NE,2,2X25,10,DC,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,NE,2,2X25,10,DM,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,NE,2,2X25,10,UC,C,
Rotation 2,1057,2015,01-Jun-15,TDI,NW,2,2X25,10,TC,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,NW,2,2X25,10,TS,None,
Rotation 2,1057,2015,01-Jun-15,TDI,NW,2,2X25,10,DM,C,
Rotation 2,1057,2015,01-Jun-15,TDI,NW,2,2X25,10,HB,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,NW,2,2X25,10,TD,C,
Rotation 2,1057,2015,01-Jun-15,TDI,NW,2,2X25,10,DC,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,NW,2,2X25,10,UO,C,
Rotation 2,1057,2015,01-Jun-15,TDI,NW,2,2X25,10,UC,C,
Rotation 2,1057,2015,01-Jun-15,TDI,SE,2,2X25,10,HB,VNA,
Rotation 2,1057,2015,01-Jun-15,TDI,SE,2,2X25,10,TS,C,
