"Rotation","ABMI Site","Year","Field Date","Field Crew Member(s)","Identification Date","Identification Analyst","Advanced ID Date","Advanced ID Analyst","Microhabitat Type","Plot Number","Common Name","Scientific Name","Taxonomic Resolution","Unique Taxonomic Identification Number"
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,RR,1,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,RR,1,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1118,2007,18-Jun-07,MPA,15-Aug-07,DFR,VNA,VNA,RR,1,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1118,2007,18-Jun-07,MPA,15-Aug-07,DFR,VNA,VNA,TD,1,VNA,Platygyrium repens,Species,99000841,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,TD,1,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,TD,1,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,TD,1,VNA,Brachythecium,Genus,99000537,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,TD,1,VNA,Brachythecium,Genus,99000537,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,TD,1,VNA,Plagiomnium cuspidatum,Species,99000959,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,1,VNA,Plagiomnium cuspidatum,Species,99000959,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,TD,1,VNA,Plagiomnium cuspidatum,Species,99000959,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,UH,1,VNA,Bryum,Genus,99000545,
Rotation 1,1118,2007,10-Jul-07,MPA,15-Aug-07,CCO,VNA,VNA,UH,1,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,1,VNA,Bryum,Genus,99000545,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,UH,1,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,1,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,UH,1,VNA,Bryum,Genus,99000545,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,1,VNA,Brachythecium,Genus,99000537,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,1,VNA,Bryum,Genus,99000545,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,1,VNA,Brachythecium,Genus,99000537,
Rotation 1,1118,2007,10-Jul-07,MPA,15-Aug-07,CCO,VNA,VNA,LH,2,VNA,Platygyrium repens,Species,99000841,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,RR,2,VNA,Plagiomnium cuspidatum,Species,99000959,
Rotation 1,1118,2007,18-Jun-07,MPA,15-Aug-07,DFR,VNA,VNA,RR,2,VNA,Eurhynchiastrum pulchellum,Species,99001127,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,RR,2,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,RR,2,VNA,Bryum,Genus,99000545,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,RR,2,VNA,Bryum,Genus,99000545,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,RR,2,VNA,Brachythecium,Genus,99000537,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,RR,2,VNA,Brachythecium,Genus,99000537,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,RR,2,VNA,Brachythecium,Genus,99000537,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,RR,2,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,RR,2,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,RR,2,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,RR,2,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,RR,2,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,RR,2,VNA,Sanionia uncinata,Species,99000804,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,RR,2,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1118,2007,10-Jul-07,MPA,15-Aug-07,CCO,VNA,VNA,TD,2,VNA,Platygyrium repens,Species,99000841,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,2,VNA,Drepanocladus aduncus,Species,99001109,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,UH,2,VNA,Drepanocladus aduncus,Species,99001109,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,UH,2,VNA,Bryum,Genus,99000545,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,UH,2,VNA,Drepanocladus aduncus,Species,99001109,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,2,VNA,Bryum,Genus,99000545,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,2,VNA,Campylium stellatum,Species,99001144,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,2,VNA,Campylium stellatum,Species,99001144,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,2,VNA,Campylium stellatum,Species,99001144,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,2,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,2,VNA,Campylium stellatum,Species,99001144,
Rotation 1,1118,2007,10-Jul-07,MPA,15-Aug-07,CCO,VNA,VNA,TD,3,VNA,Platygyrium repens,Species,99000841,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,3,VNA,Drepanocladus aduncus,Species,99001109,
Rotation 1,1118,2007,18-Jun-07,MPA,15-Aug-07,DFR,VNA,VNA,LH,4,VNA,Platygyrium repens,Species,99000841,
Rotation 1,1118,2007,10-Jul-07,MPA,15-Aug-07,CCO,VNA,VNA,LH,4,VNA,Bryum,Genus,99000545,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,LH,4,VNA,Brachythecium,Genus,99000537,
Rotation 1,1118,2007,10-Jul-07,MPA,15-Aug-07,CCO,VNA,VNA,LH,4,VNA,Platygyrium repens,Species,99000841,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,LH,4,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,LH,4,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,4,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,4,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,LH,5,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,LH,5,VNA,Leptobryum pyriforme,Species,99000976,
Rotation 1,1118,2007,10-Jul-07,MPA,15-Aug-07,CCO,VNA,VNA,LH,5,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,5,VNA,Bryum,Genus,99000545,
Rotation 1,1149,2007,17-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,LH,1,VNA,Eurhynchiastrum pulchellum,Species,99001127,
Rotation 1,1149,2007,17-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,LH,1,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1149,2007,17-Jun-07,MPA,15-Aug-07,CCO,VNA,VNA,LS,1,VNA,Platydictya jungermannioides,Species,99000839,
Rotation 1,1149,2007,17-Jun-07,MPA,15-Aug-07,CCO,VNA,VNA,LS,1,VNA,Platygyrium repens,Species,99000841,
Rotation 1,1149,2007,09-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,LS,1,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1149,2007,09-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,1,VNA,Brachythecium,Genus,99000537,
Rotation 1,1149,2007,09-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,1,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1149,2007,09-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,1,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1149,2007,17-Jun-07,MPA,15-Aug-07,CCO,VNA,VNA,TD,1,VNA,Platygyrium repens,Species,99000841,
Rotation 1,1149,2007,17-Jun-07,MPA,21-Aug-07,RCA,VNA,VNA,UH,1,VNA,Polytrichum strictum,Species,99000872,
Rotation 1,1149,2007,17-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,UH,1,Juniper Polytrichum Moss,Polytrichum juniperinum,Species,99000866,
Rotation 1,1149,2007,17-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,UH,1,VNA,Leptobryum pyriforme,Species,99000976,
Rotation 1,1149,2007,09-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,1,Cord Moss,Funaria hygrometrica,Species,99001027,
Rotation 1,1149,2007,17-Jun-07,MPA,15-Aug-07,CCO,VNA,VNA,UH,1,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1149,2007,09-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,1,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1149,2007,17-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,UH,1,VNA,Pseudocampylium radicale,Species,99001143,
Rotation 1,1149,2007,17-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,UH,1,VNA,Bryum,Genus,99000545,
Rotation 1,1149,2007,09-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,1,VNA,Bryum,Genus,99000545,
Rotation 1,1149,2007,09-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,2,VNA,Orthotrichum speciosum,Species,99000940,
Rotation 1,1149,2007,09-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,2,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1149,2007,09-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,2,VNA,Orthotrichum speciosum,Species,99000940,
Rotation 1,1149,2007,09-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,2,VNA,Orthotrichum obtusifolium,Species,99000932,
Rotation 1,1149,2007,09-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,2,VNA,Orthotrichum obtusifolium,Species,99000932,
Rotation 1,1149,2007,09-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,2,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1149,2007,09-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,2,VNA,Brachythecium,Genus,99000537,
Rotation 1,1149,2007,09-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,2,VNA,Bryum,Genus,99000545,
Rotation 1,1149,2007,17-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,UH,2,VNA,Bryum,Genus,99000545,
Rotation 1,1149,2007,17-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,UH,2,VNA,Brachythecium,Genus,99000537,
Rotation 1,1149,2007,09-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,2,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1149,2007,17-Jun-07,MPA,15-Aug-07,RCA,VNA,VNA,LH,3,VNA,Platygyrium repens,Species,99000841,
Rotation 1,1149,2007,09-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,3,VNA,Brachythecium,Genus,99000537,
Rotation 1,1149,2007,09-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,3,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,DNC,1,VNA,Brachythecium,Genus,99000537,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,DNC,1,Hairy Screw Moss,Syntrichia ruralis,Species,99000708,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,DNC,1,VNA,Drepanocladus aduncus,Species,99001109,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,DNC,1,VNA,Bryum,Genus,99000545,
Rotation 1,1150,2007,20-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,LS,1,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1150,2007,20-Jun-07,MPA,15-Aug-07,DFR,VNA,VNA,LS,1,VNA,Platygyrium repens,Species,99000841,
Rotation 1,1150,2007,11-Jul-07,MPA,15-Aug-07,MPA,VNA,VNA,TD,1,VNA,Platygyrium repens,Species,99000841,
Rotation 1,1150,2007,20-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,TD,1,VNA,Hypnum pallescens,Species,99001080,
Rotation 1,1150,2007,20-Jun-07,MPA,15-Aug-07,DFR,VNA,VNA,TD,1,VNA,Orthotrichum obtusifolium,Species,99000932,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,1,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,1,VNA,Orthotrichum speciosum,Species,99000940,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,1,VNA,Pottiaceae,Family,99000466,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,1,VNA,Pohlia,Genus,99000649,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,1,VNA,Pohlia,Genus,99000649,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,1,VNA,Bryum argenteum,Species,99001220,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,1,VNA,Bryum,Genus,99000545,
Rotation 1,1150,2007,11-Jul-07,MPA,15-Aug-07,MPA,VNA,VNA,WSB,1,VNA,Marchantia polymorpha,Species,99001013,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,1,VNA,Funariaceae,Family,99000438,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,1,VNA,Leptobryum pyriforme,Species,99000976,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,1,VNA,Bryum argenteum,Species,99001220,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,1,VNA,Pottiaceae,Family,99000466,
Rotation 1,1150,2007,11-Jul-07,MPA,15-Aug-07,MPA,VNA,VNA,TD,2,VNA,Platygyrium repens,Species,99000841,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,2,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1150,2007,11-Jul-07,MPA,15-Aug-07,MPA,VNA,VNA,UH,2,VNA,Orthotrichum obtusifolium,Species,99000932,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,2,VNA,Bryidae,Subclass,99000394,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,2,VNA,Leptobryum pyriforme,Species,99000976,
Rotation 1,1150,2007,11-Jul-07,MPA,15-Aug-07,MPA,VNA,VNA,UH,2,VNA,Orthotrichum obtusifolium,Species,99000932,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,2,VNA,Bryum argenteum,Species,99001220,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,2,VNA,Bryum,Genus,99000545,
Rotation 1,1150,2007,11-Jul-07,MPA,15-Aug-07,MPA,VNA,VNA,WSB,2,VNA,Marchantia polymorpha,Species,99001013,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,2,VNA,Bryum,Genus,99000545,
Rotation 1,1150,2007,20-Jun-07,MPA,15-Aug-07,DFR,VNA,VNA,UH,3,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,3,VNA,Bryum argenteum,Species,99001220,
Rotation 1,1150,2007,20-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,UH,3,VNA,Bryum,Genus,99000545,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,3,VNA,Bryum,Genus,99000545,
Rotation 1,1150,2007,20-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,UH,3,VNA,Brachythecium,Genus,99000537,
Rotation 1,1150,2007,20-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,UH,3,VNA,Brachythecium,Genus,99000537,
Rotation 1,1150,2007,20-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,UH,3,Hairy Screw Moss,Syntrichia ruralis,Species,99000708,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,3,VNA,Pottiaceae,Family,99000466,
Rotation 1,1150,2007,20-Jun-07,MPA,15-Aug-07,DFR,VNA,VNA,UH,3,Copper Wire Moss,Pohlia nutans,Species,99000859,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,3,VNA,Bryum argenteum,Species,99001220,
Rotation 1,1150,2007,11-Jul-07,MPA,15-Aug-07,MPA,VNA,VNA,WSB,3,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,3,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,3,VNA,Pottiaceae,Family,99000466,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,3,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,3,VNA,Pottiaceae,Family,99000466,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,3,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,4,VNA,Drepanocladus aduncus,Species,99001109,
Rotation 1,1150,2007,11-Jul-07,MPA,15-Aug-07,MPA,VNA,VNA,UH,4,Copper Wire Moss,Pohlia nutans,Species,99000859,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,4,Hairy Screw Moss,Syntrichia ruralis,Species,99000708,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,4,VNA,Bryum,Genus,99000545,
Rotation 1,1150,2007,11-Jul-07,MPA,21-Aug-07,LTH,VNA,VNA,UH,4,VNA,Polytrichum piliferum,Species,99000870,
Rotation 1,1150,2007,11-Jul-07,MPA,15-Aug-07,MPA,VNA,VNA,UH,4,Copper Wire Moss,Pohlia nutans,Species,99000859,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,4,VNA,Brachythecium,Genus,99000537,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,4,VNA,Ptychostomum pendulum,Species,99001217,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,4,VNA,Funariaceae,Family,99000438,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,4,VNA,Pottiaceae,Family,99000466,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,4,VNA,Leptobryum pyriforme,Species,99000976,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,4,VNA,Bryum argenteum,Species,99001220,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,4,VNA,Bryum,Genus,99000545,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,5,VNA,Pottiaceae,Family,99000466,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,5,VNA,Bryum,Genus,99000545,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,5,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,5,VNA,Leptobryum pyriforme,Species,99000976,
Rotation 1,1150,2007,11-Jul-07,MPA,15-Aug-07,MPA,VNA,VNA,WSB,6,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,6,VNA,Pottiaceae,Family,99000466,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,6,VNA,Bryum,Genus,99000545,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,6,VNA,Bryum argenteum,Species,99001220,
Rotation 1,1150,2007,11-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,6,VNA,Drepanocladus aduncus,Species,99001109,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,1,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,1,VNA,Drepanocladus aduncus,Species,99001109,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,1,VNA,Brachythecium,Genus,99000537,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,1,VNA,Drepanocladus aduncus,Species,99001109,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,1,VNA,Drepanocladus aduncus,Species,99001109,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,1,VNA,Drepanocladus aduncus,Species,99001109,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,1,VNA,Drepanocladus aduncus,Species,99001109,
Rotation 1,1253,2007,23-Jul-07,MPA,15-Aug-07,RCA,VNA,VNA,WSB,1,Liverworts,Marchantiopsida,Class,99000390,
Rotation 1,1253,2007,23-Jul-07,MPA,15-Aug-07,RCA,VNA,VNA,LH,2,Liverworts,Marchantiopsida,Class,99000390,
