"Rotation","ABMI Site","Year","Field Date","Field Crew Member(s)","Quadrant","Stratum","Identification Date","Identification Analyst","Common Name","Scientific Name","Taxonomic Resolution","Unique Taxonomic Identification Number","Identification Qualifier ","Qualifier Taxonomic Rank "
Rotation 2,1023,2015,30-May-15,TDI,SW,Wetland,07-Aug-15,THI,VNA,Ptychostomum creberrimum,Species,99001228,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,Wetland,10-Aug-15,THI,VNA,Bryaceae,Family,99000494,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,Wetland,10-Aug-15,THI,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,Wetland,10-Aug-15,THI,VNA,Bryaceae,Family,99000494,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,Wetland,10-Aug-15,THI,Golden Thread-moss,Leptobryum pyriforme,Species,99000976,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,Wetland,10-Aug-15,THI,Golden Thread-moss,Leptobryum pyriforme,Species,99000976,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,Wetland,10-Aug-15,THI,Bonfire Moss,Funaria hygrometrica,Species,99001027,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,Wetland,07-Aug-15,KWI2,Purple Moss,Ceratodon purpureus,Species,99000320,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,Wetland,07-Aug-15,KRE,Mosses,Bryophyta,Division,14189,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,Wetland,10-Aug-15,THI,Golden Thread-moss,Leptobryum pyriforme,Species,99000976,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,Wetland,10-Aug-15,THI,VNA,Bryaceae,Family,99000494,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,12-Dec-16,EFE,Willow Feather-moss,Hygroamblystegium varium,Species,99001268,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,12-Dec-16,EFE,Tinyleaf Small Plume Moss,Haplocladium microphyllum,Species,99001215,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,12-Dec-16,EFE,Creeping Feather-Moss,Amblystegium serpens,Species,99001267,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,24-Aug-15,MLA2,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,12-Dec-16,EFE,Blunt-leaved Bristle-moss,Orthotrichum obtusifolium,Species,99000932,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,24-Aug-15,MLA2,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,12-Dec-16,EFE,Creeping Feather-Moss,Amblystegium serpens,Species,99001267,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,12-Dec-16,EFE,Creeping Feather-Moss,Amblystegium serpens,Species,99001267,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,24-Aug-15,MLA2,Woodsy Thyme-moss,Plagiomnium cuspidatum,Species,99000959,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,24-Aug-15,MLA2,Woodsy Thyme-moss,Plagiomnium cuspidatum,Species,99000959,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,12-Dec-16,EFE,Woodsy Thyme-moss,Plagiomnium cuspidatum,Species,99000959,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,12-Dec-16,EFE,Tinyleaf Small Plume Moss,Haplocladium microphyllum,Species,99001215,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,24-Aug-15,EFE,VNA,Brachythecium,Genus,99000537,s.l.,Genus,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,12-Dec-16,EFE,Tinyleaf Small Plume Moss,Haplocladium microphyllum,Species,99001215,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,12-Dec-16,EFE,Flat-brocade Moss,Platygyrium repens,Species,99000841,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,12-Dec-16,EFE,Tinyleaf Small Plume Moss,Haplocladium microphyllum,Species,99001215,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,12-Dec-16,EFE,Creeping Feather-Moss,Amblystegium serpens,Species,99001267,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,12-Dec-16,EFE,VNA,Brachythecium,Genus,99000537,s.l.,Genus,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,12-Dec-16,EFE,Woodsy Thyme-moss,Plagiomnium cuspidatum,Species,99000959,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,12-Dec-16,EFE,Tinyleaf Small Plume Moss,Haplocladium microphyllum,Species,99001215,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,12-Dec-16,EFE,Glaucous-headed Earwort,Scapania glaucocephala,Species,99000814,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,24-Aug-15,MLA2,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,12-Dec-16,EFE,VNA,Orthotrichum elegans,Species,99001338,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,12-Dec-16,EFE,Distichium Moss,Distichium,Genus,99000278,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,12-Dec-16,EFE,Tinyleaf Small Plume Moss,Haplocladium microphyllum,Species,99001215,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Log/Stump,12-Dec-16,EFE,Tinyleaf Small Plume Moss,Haplocladium microphyllum,Species,99001215,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Rock,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Tree/Other,21-Aug-15,LLA,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Tree/Other,21-Aug-15,LLA,Woodsy Thyme-moss,Plagiomnium cuspidatum,Species,99000959,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Upland,24-Aug-15,THI,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Upland,24-Aug-15,MLA2,Woodsy Thyme-moss,Plagiomnium cuspidatum,Species,99000959,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Upland,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Upland,12-Dec-16,EFE,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Upland,12-Dec-16,EFE,Creeping Feather-Moss,Amblystegium serpens,Species,99001267,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Upland,24-Aug-15,MLA2,Woodsy Thyme-moss,Plagiomnium cuspidatum,Species,99000959,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Upland,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Upland,24-Aug-15,MLA2,Cord Moss,Eurhynchiastrum pulchellum,Species,99001127,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Upland,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Upland,24-Aug-15,THI,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Upland,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Upland,12-Dec-16,EFE,Creeping Feather-Moss,Amblystegium serpens,Species,99001267,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Upland,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Upland,24-Aug-15,MLA2,Cord Moss,Eurhynchiastrum pulchellum,Species,99001127,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Upland,24-Aug-15,MLA2,Woodsy Thyme-moss,Plagiomnium cuspidatum,Species,99000959,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Upland,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Upland,12-Dec-16,EFE,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Upland,12-Dec-16,EFE,Tinyleaf Small Plume Moss,Haplocladium microphyllum,Species,99001215,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Upland,24-Aug-15,MLA2,Woodsy Thyme-moss,Plagiomnium cuspidatum,Species,99000959,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Wetland,24-Aug-15,MLA2,Marsh Thyme-moss,Plagiomnium ellipticum,Species,99000961,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Wetland,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Wetland,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Wetland,24-Aug-15,MLA2,Marsh Thyme-moss,Plagiomnium ellipticum,Species,99000961,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Wetland,12-Dec-16,EFE,Creeping Feather-Moss,Amblystegium serpens,Species,99001267,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Wetland,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Wetland,12-Dec-16,EFE,VNA,Plagiomnium,Genus,99000643,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Wetland,12-Dec-16,EFE,Creeping Feather-Moss,Amblystegium serpens,Species,99001267,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Wetland,12-Dec-16,EFE,Knieff's Hook-moss,Drepanocladus aduncus,Species,99001109,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Wetland,24-Aug-15,MLA2,Marsh Thyme-moss,Plagiomnium ellipticum,Species,99000961,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Wetland,12-Dec-16,EFE,VNA,Bryaceae,Family,99000494,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NE,Wetland,12-Dec-16,EFE,Willow Feather-moss,Hygroamblystegium varium,Species,99001268,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Log/Stump,12-Dec-16,EFE,Fertile Feather-moss,Drepanocladus polygamus,Species,99001262,cf.,Genus,
Rotation 2,1024,2015,31-May-15,TDI,NW,Log/Stump,12-Dec-16,EFE,Creeping Feather-Moss,Amblystegium serpens,Species,99001267,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Log/Stump,21-Aug-15,LLA,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Log/Stump,12-Dec-16,EFE,VNA,Hypnum,Genus,99000601,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Log/Stump,21-Aug-15,LLA,Sickle-leaved Hook-moss,Sanionia uncinata,Species,99000804,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Log/Stump,12-Dec-16,EFE,Tinyleaf Small Plume Moss,Haplocladium microphyllum,Species,99001215,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Log/Stump,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Log/Stump,21-Aug-15,LLA,Woodsy Thyme-moss,Plagiomnium cuspidatum,Species,99000959,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Log/Stump,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Log/Stump,12-Dec-16,EFE,Tinyleaf Small Plume Moss,Haplocladium microphyllum,Species,99001215,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Log/Stump,21-Aug-15,LLA,Cord Moss,Eurhynchiastrum pulchellum,Species,99001127,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Log/Stump,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Log/Stump,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Rock,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Tree/Other,21-Aug-15,LLA,Woodsy Thyme-moss,Plagiomnium cuspidatum,Species,99000959,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Tree/Other,21-Aug-15,LLA,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Tree/Other,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Tree/Other,21-Aug-15,LLA,Cord Moss,Eurhynchiastrum pulchellum,Species,99001127,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Tree/Other,21-Aug-15,LLA,Woodsy Thyme-moss,Plagiomnium cuspidatum,Species,99000959,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Tree/Other,12-Dec-16,EFE,Creeping Feather-Moss,Amblystegium serpens,Species,99001267,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Upland,12-Dec-16,EFE,VNA,Bryaceae,Family,99000494,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Upland,12-Dec-16,EFE,Tinyleaf Small Plume Moss,Haplocladium microphyllum,Species,99001215,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Upland,21-Aug-15,LLA,Woodsy Thyme-moss,Plagiomnium cuspidatum,Species,99000959,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Upland,21-Aug-15,LLA,Woodsy Thyme-moss,Plagiomnium cuspidatum,Species,99000959,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Upland,21-Aug-15,LLA,Cord Moss,Eurhynchiastrum pulchellum,Species,99001127,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Upland,21-Aug-15,LLA,Purple Moss,Ceratodon purpureus,Species,99000320,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Upland,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Upland,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Upland,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Upland,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Upland,12-Dec-16,EFE,Creeping Feather-Moss,Amblystegium serpens,Species,99001267,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,NW,Wetland,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SE,Log/Stump,21-Aug-15,LLA,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SE,Log/Stump,21-Aug-15,LLA,VNA,Orthotrichum,Genus,99000633,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SE,Log/Stump,21-Aug-15,LLA,Woodsy Thyme-moss,Plagiomnium cuspidatum,Species,99000959,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SE,Log/Stump,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SE,Log/Stump,21-Aug-15,LLA,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SE,Log/Stump,21-Aug-15,LLA,Common Hair-cap,Pohlia nutans,Species,99000859,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SE,Log/Stump,12-Dec-16,EFE,Tinyleaf Small Plume Moss,Haplocladium microphyllum,Species,99001215,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SE,Log/Stump,21-Aug-15,LLA,Woodsy Thyme-moss,Plagiomnium cuspidatum,Species,99000959,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SE,Log/Stump,21-Aug-15,LLA,Red-stemmed Feather-moss,Pleurozium schreberi,Species,99000843,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SE,Log/Stump,21-Aug-15,LLA,Purple Moss,Ceratodon purpureus,Species,99000320,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SE,Log/Stump,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SE,Log/Stump,12-Dec-16,EFE,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1024,2015,31-May-15,TDI,SE,Log/Stump,12-Dec-16,EFE,Tinyleaf Small Plume Moss,Haplocladium microphyllum,Species,99001215,VNA,VNA,
